time_iso8601,stars_cumulative
2024-08-23 00:00:00+00:00,632
2024-08-24 00:00:00+00:00,633
2024-08-26 00:00:00+00:00,635
2024-08-27 00:00:00+00:00,637
2024-08-28 00:00:00+00:00,638
2024-08-29 00:00:00+00:00,639
2024-09-01 00:00:00+00:00,640
2024-09-02 00:00:00+00:00,642
2024-09-03 00:00:00+00:00,645
2024-09-05 00:00:00+00:00,646
2024-09-06 00:00:00+00:00,648
2024-09-10 00:00:00+00:00,649
2024-09-16 00:00:00+00:00,651
2024-09-17 00:00:00+00:00,652
2024-09-18 00:00:00+00:00,653
2024-09-20 00:00:00+00:00,654
2024-09-23 00:00:00+00:00,655
2024-09-26 00:00:00+00:00,656
2024-09-27 00:00:00+00:00,657
2024-10-02 00:00:00+00:00,659
2024-10-05 00:00:00+00:00,660
2024-10-08 00:00:00+00:00,661
2024-10-09 00:00:00+00:00,662
2024-10-10 00:00:00+00:00,663
2024-10-11 00:00:00+00:00,664
2024-10-12 00:00:00+00:00,665
2024-10-13 00:00:00+00:00,666
2024-10-14 00:00:00+00:00,667
2024-10-23 00:00:00+00:00,668
2024-10-24 00:00:00+00:00,669
2024-10-25 00:00:00+00:00,720
2024-10-26 00:00:00+00:00,728
2024-10-27 00:00:00+00:00,733
2024-10-28 00:00:00+00:00,738
2024-10-29 00:00:00+00:00,740
2024-10-30 00:00:00+00:00,743
2024-11-01 00:00:00+00:00,744
2024-11-03 00:00:00+00:00,745
2024-11-04 00:00:00+00:00,746
2024-11-05 00:00:00+00:00,747
2024-11-07 00:00:00+00:00,748
2024-11-08 00:00:00+00:00,749
2024-11-11 00:00:00+00:00,751
2024-11-12 00:00:00+00:00,753
2024-11-15 00:00:00+00:00,757
2024-11-16 00:00:00+00:00,758
2024-11-18 00:00:00+00:00,759
2024-11-21 00:00:00+00:00,761
2024-11-24 00:00:00+00:00,764
2024-11-25 00:00:00+00:00,765
2024-11-28 00:00:00+00:00,767
2024-11-30 00:00:00+00:00,769
2024-12-02 00:00:00+00:00,771
2024-12-03 00:00:00+00:00,773
2024-12-08 00:00:00+00:00,774
2024-12-10 00:00:00+00:00,775
2024-12-11 00:00:00+00:00,776
2024-12-14 00:00:00+00:00,777
2024-12-18 00:00:00+00:00,778
2024-12-19 00:00:00+00:00,779
2024-12-23 00:00:00+00:00,780
2024-12-24 00:00:00+00:00,781
2024-12-26 00:00:00+00:00,782
2024-12-27 00:00:00+00:00,783
2025-01-03 00:00:00+00:00,784
2025-01-05 00:00:00+00:00,785
2025-01-06 00:00:00+00:00,786
2025-01-08 00:00:00+00:00,787
2025-01-10 00:00:00+00:00,789
2025-01-12 00:00:00+00:00,790
2025-01-14 00:00:00+00:00,791
2025-01-22 00:00:00+00:00,792
2025-01-25 00:00:00+00:00,793
2025-01-26 00:00:00+00:00,794
2025-01-27 00:00:00+00:00,795
2025-01-30 00:00:00+00:00,796
2025-02-04 00:00:00+00:00,797
2025-02-05 00:00:00+00:00,798
2025-02-07 00:00:00+00:00,799
2025-02-11 00:00:00+00:00,800
2025-02-14 00:00:00+00:00,801
2025-02-20 00:00:00+00:00,802
2025-02-21 00:00:00+00:00,804
2025-02-23 00:00:00+00:00,805
2025-02-26 00:00:00+00:00,806
2025-02-28 00:00:00+00:00,807
2025-03-02 00:00:00+00:00,808
2025-03-03 00:00:00+00:00,811
2025-03-04 00:00:00+00:00,813
2025-03-05 00:00:00+00:00,814
2025-03-06 00:00:00+00:00,815
2025-03-10 00:00:00+00:00,816
2025-03-15 00:00:00+00:00,817
2025-03-16 00:00:00+00:00,818
2025-03-17 00:00:00+00:00,819
2025-03-18 00:00:00+00:00,822
2025-03-20 00:00:00+00:00,823
2025-03-22 00:00:00+00:00,824
2025-03-24 00:00:00+00:00,826
2025-03-25 00:00:00+00:00,827
2025-03-26 00:00:00+00:00,829
2025-03-28 00:00:00+00:00,831
2025-03-30 00:00:00+00:00,832
2025-03-31 00:00:00+00:00,833
2025-04-01 00:00:00+00:00,836
2025-04-03 00:00:00+00:00,837
2025-04-04 00:00:00+00:00,840
2025-04-05 00:00:00+00:00,842
2025-04-08 00:00:00+00:00,843
2025-04-09 00:00:00+00:00,844
2025-04-10 00:00:00+00:00,846
2025-04-11 00:00:00+00:00,847
2025-04-16 00:00:00+00:00,848
2025-04-17 00:00:00+00:00,849
2025-04-22 00:00:00+00:00,850
2025-04-24 00:00:00+00:00,851
2025-04-26 00:00:00+00:00,853
2025-04-28 00:00:00+00:00,855
2025-04-30 00:00:00+00:00,856
2025-05-01 00:00:00+00:00,859
2025-05-03 00:00:00+00:00,860
2025-05-04 00:00:00+00:00,861
2025-05-09 00:00:00+00:00,862
2025-05-15 00:00:00+00:00,863
2025-05-17 00:00:00+00:00,865
2025-05-18 00:00:00+00:00,866
2025-05-19 00:00:00+00:00,867
2025-05-26 00:00:00+00:00,869
2025-06-02 00:00:00+00:00,870
2025-06-06 00:00:00+00:00,871
2025-06-07 00:00:00+00:00,872
2025-06-09 00:00:00+00:00,873
2025-06-10 00:00:00+00:00,874
2025-06-11 00:00:00+00:00,875
2025-06-14 00:00:00+00:00,876
2025-06-18 00:00:00+00:00,877
2025-06-20 00:00:00+00:00,879
2025-06-23 00:00:00+00:00,880
2025-06-24 00:00:00+00:00,881
2025-06-26 00:00:00+00:00,882
2025-06-28 00:00:00+00:00,883
2025-06-30 00:00:00+00:00,884
2025-07-01 00:00:00+00:00,886
2025-07-04 00:00:00+00:00,887
2025-07-07 00:00:00+00:00,889
2025-07-08 00:00:00+00:00,890
2025-07-09 00:00:00+00:00,891
2025-07-10 00:00:00+00:00,893
2025-07-12 00:00:00+00:00,894
2025-07-14 00:00:00+00:00,896
2025-07-16 00:00:00+00:00,897
2025-07-17 00:00:00+00:00,898
2025-07-18 00:00:00+00:00,899
2025-07-19 00:00:00+00:00,900
2025-07-23 00:00:00+00:00,901
2025-07-27 00:00:00+00:00,902
2025-08-02 00:00:00+00:00,903
2025-08-04 00:00:00+00:00,904
2025-08-06 00:00:00+00:00,906
2025-08-07 00:00:00+00:00,907
2025-08-10 00:00:00+00:00,908
2025-08-17 00:00:00+00:00,910
2025-08-20 00:00:00+00:00,911
2025-08-22 00:00:00+00:00,912
2025-08-24 00:00:00+00:00,913
2025-08-26 00:00:00+00:00,914
2025-08-27 00:00:00+00:00,917
2025-09-03 00:00:00+00:00,918
2025-09-04 00:00:00+00:00,919
2025-09-05 00:00:00+00:00,920
2025-09-09 00:00:00+00:00,921
2025-09-12 00:00:00+00:00,922
2025-09-17 00:00:00+00:00,923
2025-09-20 00:00:00+00:00,924
2025-09-24 00:00:00+00:00,925
2025-09-28 00:00:00+00:00,927
2025-09-29 00:00:00+00:00,928
2025-09-30 00:00:00+00:00,929
2025-10-01 00:00:00+00:00,930
2025-10-02 00:00:00+00:00,931
2025-10-05 00:00:00+00:00,932
2025-10-06 00:00:00+00:00,934
2025-10-09 00:00:00+00:00,935
2025-10-13 00:00:00+00:00,936
2025-10-14 00:00:00+00:00,938
2025-10-15 00:00:00+00:00,940
2025-10-16 00:00:00+00:00,942
2025-10-17 00:00:00+00:00,943
2025-10-21 00:00:00+00:00,944
2025-10-23 00:00:00+00:00,945
2025-10-27 00:00:00+00:00,946
2025-10-28 00:00:00+00:00,947
2025-11-02 00:00:00+00:00,948
2025-11-04 00:00:00+00:00,949
2025-11-05 00:00:00+00:00,951
2025-11-07 00:00:00+00:00,953
2025-11-09 00:00:00+00:00,954
2025-11-10 00:00:00+00:00,968
2025-11-13 00:00:00+00:00,1004
2025-11-14 00:00:00+00:00,1005
2025-11-15 00:00:00+00:00,1006
2025-11-16 00:00:00+00:00,1009
2025-11-18 00:00:00+00:00,1011
2025-11-19 00:00:00+00:00,1012
2025-11-20 00:00:00+00:00,1013
2025-11-21 00:00:00+00:00,1015
2025-11-22 00:00:00+00:00,1016
2025-11-25 00:00:00+00:00,1017
2025-12-02 00:00:00+00:00,1019
2025-12-04 00:00:00+00:00,1020
2025-12-05 00:00:00+00:00,1021
2025-12-07 00:00:00+00:00,1022
2025-12-10 00:00:00+00:00,1024
